"Survived","Pclass","Sex","Age","SibSp","Parch"
"survived","first","female","youth","hasSibSp","noParch"
"survived","second","female","teenager","hasSibSp","noParch"
"survived","third","female","unknown","noSibSp","noParch"
"dead","third","male","unknown","noSibSp","noParch"
"dead","first","male","middle-ager","noSibSp","noParch"
"survived","first","female","unknown","hasSibSp","noParch"
"dead","first","male","youth","hasSibSp","noParch"
"survived","third","male","unknown","noSibSp","noParch"
"survived","third","female","teenager","hasSibSp","noParch"
"dead","third","male","unknown","noSibSp","noParch"
"survived","second","female","kid","hasSibSp","hasParch"
"dead","third","male","unknown","hasSibSp","noParch"
"survived","first","female","middle-ager","hasSibSp","noParch"
"dead","first","male","elder","noSibSp","hasParch"
"dead","third","male","youth","noSibSp","noParch"
"dead","third","male","youth","noSibSp","noParch"
"dead","first","male","unknown","noSibSp","noParch"
"survived","third","male","unknown","hasSibSp","hasParch"
"dead","third","male","youth","hasSibSp","noParch"
"dead","first","male","elder","noSibSp","noParch"
"survived","first","male","youth","noSibSp","hasParch"
"dead","third","female","teenager","hasSibSp","noParch"
"dead","third","female","teenager","noSibSp","noParch"
"dead","first","male","youth","noSibSp","hasParch"
"dead","second","male","youth","hasSibSp","noParch"
"survived","third","male","teenager","hasSibSp","noParch"
"survived","third","female","unknown","hasSibSp","hasParch"
"dead","third","male","youth","noSibSp","noParch"
"dead","second","male","youth","noSibSp","noParch"
"dead","first","male","youth","noSibSp","noParch"
"dead","third","female","unknown","noSibSp","hasParch"
"dead","first","male","middle-ager","noSibSp","hasParch"
"dead","first","male","middle-ager","noSibSp","noParch"
"dead","first","female","middle-ager","noSibSp","noParch"
"dead","second","male","unknown","noSibSp","noParch"
"survived","first","female","middle-ager","noSibSp","noParch"
"survived","first","female","middle-ager","noSibSp","noParch"
"dead","third","male","middle-ager","noSibSp","noParch"
"survived","third","male","youth","noSibSp","noParch"
"survived","first","male","middle-ager","noSibSp","noParch"
"survived","first","female","youth","hasSibSp","noParch"
"survived","first","female","youth","noSibSp","noParch"
"dead","third","female","unknown","hasSibSp","noParch"
"dead","third","male","youth","noSibSp","noParch"
"survived","third","female","youth","noSibSp","hasParch"
"survived","first","female","unknown","noSibSp","noParch"
"survived","first","female","youth","noSibSp","noParch"
"dead","first","male","youth","noSibSp","hasParch"
"dead","third","male","youth","noSibSp","noParch"
"survived","first","female","teenager","hasSibSp","noParch"
"dead","second","male","youth","noSibSp","noParch"
"dead","first","male","unknown","noSibSp","noParch"
"dead","third","male","youth","noSibSp","noParch"
"survived","first","female","middle-ager","noSibSp","hasParch"
"survived","first","female","unknown","noSibSp","noParch"
"survived","first","female","teenager","hasSibSp","noParch"
"dead","second","male","youth","hasSibSp","noParch"
"survived","first","female","youth","noSibSp","noParch"
"survived","first","female","youth","noSibSp","noParch"
"survived","first","female","teenager","hasSibSp","hasParch"
"survived","first","female","middle-ager","hasSibSp","hasParch"
"survived","first","female","youth","noSibSp","noParch"
"survived","first","female","teenager","noSibSp","hasParch"
"survived","first","female","middle-ager","noSibSp","noParch"
"dead","third","male","teenager","hasSibSp","hasParch"
"dead","third","male","unknown","noSibSp","noParch"
"dead","second","male","youth","hasSibSp","noParch"
"dead","third","female","middle-ager","noSibSp","hasParch"
"survived","first","female","elder","hasSibSp","noParch"
"survived","third","female","unknown","noSibSp","noParch"
"survived","first","female","youth","noSibSp","noParch"
"survived","first","male","youth","hasSibSp","noParch"
"dead","first","male","youth","noSibSp","noParch"
"survived","first","female","unknown","hasSibSp","noParch"
"dead","first","male","youth","noSibSp","hasParch"
"dead","third","male","youth","noSibSp","noParch"
"survived","first","female","middle-ager","noSibSp","noParch"
"survived","third","female","kid","noSibSp","hasParch"
"survived","second","female","teenager","noSibSp","noParch"
